rep1,rep2,BrayCurtis_dist
FRP_1_2,FRP_2_2,0.6080119012692974
FRP_3_3,FRP_2_2,0.6848499009006107
FRP_1_2,FRP_2_3,0.5539281025537621
FRP_3_3,FRP_2_3,0.5652811626715418
FRP_2_2,FRP_1_2,0.6080119012692974
FRP_2_3,FRP_1_2,0.5539281025537621
FRP_3_2,FRP_1_2,0.6699207539303867
FRP_1_1,FRP_1_2,0.557700599306016
FRP_2_1,FRP_1_2,0.6065975179689472
FRP_1_2,FRP_3_2,0.6699207539303867
FRP_3_3,FRP_3_2,0.754293051305972
FRP_1_2,FRP_1_1,0.557700599306016
FRP_3_3,FRP_1_1,0.5669640746368506
FRP_3_3,FRP_1_3,0.5274771602185024
FRP_1_2,FRP_2_1,0.6065975179689472
FRP_3_3,FRP_2_1,0.6593147333679019
FRP_2_2,FRP_3_3,0.6848499009006107
FRP_2_3,FRP_3_3,0.5652811626715418
FRP_3_2,FRP_3_3,0.754293051305972
FRP_1_1,FRP_3_3,0.5669640746368506
FRP_1_3,FRP_3_3,0.5274771602185024
FRP_2_1,FRP_3_3,0.6593147333679019
